time,velocity,long_creepage,yaw_angle,wear_number,lateral_displacement,lateral_creepage,spin_creepage,yaw_angle_pos,contact_angle,long_creep_force,lateral_creep_force
19.81,5.55108,0.000667191,-0.00906546,23.4528,0.00385479,0.000724537,0.762058,0.00130269,0.239556,-6390.46,5214.3
1.99,5.26723,-0.00124759,3.12643e-05,0.02074,-2.26164e-06,5.17302e-06,0.154546,5.71658e-06,0.0479741,254.393,1080.5
24.36,5.54751,-0.000984363,-0.00205296,0.293188,-0.000107488,0.000154493,0.118364,0.000455645,0.0368079,-495.274,1564.58
61.3,5.55212,0.0168411,0.00734533,152.713,-0.0022359,0.0155122,2.23168,-0.00903124,0.776315,-1888.78,9451.65
28.32,5.54444,8.01804e-05,-0.00654022,0.266178,0.00126532,-0.000148786,0.261106,-0.00134778,0.0809367,228.27,1717.8
14.21,13.8905,-0.00390963,0.00461586,65.0012,-0.00439104,0.00334979,1.40922,-0.000940213,0.455448,-6800.48,4380.83
84.62,5.54948,-0.00129431,0.00321951,0.574155,-0.00101038,-6.11584e-05,0.143158,-0.00110128,0.0444326,1520.69,760.848
39.25,13.8875,0.000559059,-0.0196101,1.99579,0.00354709,-0.000545941,0.0471172,0.000317553,0.0146791,2025.92,-2519.02
81.75,5.5502,-0.00260548,0.0122533,6.89706,-0.00544747,-0.000387602,0.100978,-0.00179741,0.0314501,5285.46,-707.963
4.9,5.58164,2.63279e-05,-0.000318938,7.15714,-0.000205391,0.000114428,0.626131,0.00117201,0.195776,-4509.66,5265.26
35.41,13.8767,-0.00647809,0.00265359,4.37143,-0.00196899,0.000283332,0.153456,0.00739134,0.0475781,-3901.98,2240.51
28.91,5.56093,0.000397713,0.002242,0.238087,1.77461e-05,-3.96638e-05,0.121023,0.00270563,0.0376114,-1027.68,821.639
73.38,5.55405,-0.00179421,0.00788124,4.36709,-0.00230546,-0.000237348,0.105637,-0.00217347,0.0328226,4406.7,-153.474
28.49,5.55103,0.00077659,-0.00822782,9.57487,0.00190383,0.000332221,0.736275,0.00101026,0.231046,-4643.45,5694.29
89.03,5.54336,0.000927715,-2.66436e-05,0.276773,0.00057993,5.40187e-05,0.100154,0.00103645,0.0317705,1072.02,1036.51
38.34,13.8878,0.000300819,-0.00580347,54.3155,0.000587495,-0.00458497,0.0158479,0.00120909,0.00659902,6119.18,-7078.84
33.27,8.32137,0.000313785,-0.00840545,18.5008,0.00311479,-0.00130287,0.0161945,-0.00193089,0.00610109,7109.4,-4177.16
72.02,5.55028,-0.000553605,-0.00340493,0.0583215,0.000741827,-3.48467e-05,0.206957,-0.0019523,0.0642157,191.237,1453.65
95.84,5.55002,-9.15456e-05,0.00147208,0.12016,-0.00116391,7.15277e-05,0.156863,0.000339383,0.0486971,-315.425,1349.96
69.99,5.55338,-0.00217767,0.0122886,11.8876,-0.00371481,-0.000484021,0.0388459,-0.00194931,0.0127803,7043.91,-1472.13
10.75,8.32687,-0.000825662,0.00719914,10.5528,-0.00167553,0.000373466,0.69686,0.00186789,0.218379,-4966.3,5713.21
29.56,5.54265,-0.00124649,0.00445015,0.60181,-0.00125952,-0.000262216,0.162862,-0.000944099,0.0504374,1628.94,144.138
20.42,13.9029,-0.00317917,-0.00227472,3.42968,-0.00277985,0.000503027,0.102091,0.000468755,0.0318186,-3028.91,3018.56
24.96,8.32581,-0.00286956,-0.00458828,1.88368,-0.000905813,-5.81228e-05,0.0140371,-0.00354148,0.00468943,2726.01,-122.049
